Data from Daily Inventory of Electricity Consumption,,,,,,,,,,,,,,,,,,,,,
Date,Main Meter – Meralco (kW),SteerHub (kWh),CEAFA (kWh),Automotive (kWh),CET (kWh),RGR (kWh),SSC (kWh),GYM (kWh),,,,,,,,,,,,,
"March 07, 2023",9.6,83.707,687.361,53.824,0.368,0.805,51.644,0.858,,,,,,,,,,,,,
"March 08, 2023",29.2,105.983,694.224,47.7,0.895,0.947,45.253,0.845,,,,,,,,,,,,,
"March 09, 2023",24.4,167.177,1583.61,37.197,0.666,0.4,80.393,0.36,,,,,,,,,,,,,
"March 10, 2023",28.5,75.415,811.054,46.919,0.787,0.783,50.442,0.687,,,,,,,,,,,,,
"March 11, 2023",27.4,75.513,955.709,31.015,0.454,0.266,50.621,0.313,,,,,,,,,,,,,
"March 12, 2023",19.9,138,849.322,32.253,0.63,0.99,21.07,0.061,,,,,,,,,,,,,
"March 13, 2023",28,92.355,990.496,51.559,0.248,0.026,88.619,0.702,,,,,,,,,,,,,
"March 14, 2023",7.2,55.937,676.366,37.857,0.705,0.604,29.998,0.01,,,,,,,,,,,,,
"March 15, 2023",9.9,92.39,1170.966,51.935,0.428,0.66,15.869,0.409,,,,,,,,,,,,,
"March 16, 2023",6.1,42.537,674.374,52.897,0.443,0.688,63.052,0.329,,,,,,,,,,,,,
"March 17, 2023",13.1,48.222,1480.392,54.302,0.649,0.12,57.629,0.693,,,,,,,,,,,,,
"March 18, 2023",14.7,99.739,857.083,56.665,0.936,0.939,43.212,0.766,,,,,,,,,,,,,
"March 19, 2023",11.8,87.028,1194.013,37.239,0.064,0.181,43.775,0.304,,,,,,,,,,,,,
"March 20, 2023",25.7,166.375,1568.087,32.755,0.825,0.623,72.805,0.812,,,,,,,,,,,,,
"March 21, 2023",13.9,77.983,1315.965,43.288,0.292,0.223,25.657,0.294,,,,,,,,,,,,,
"March 22, 2023",12,112.894,1186.254,34.847,0.444,0.307,75.62,0.446,,,,,,,,,,,,,
"March 23, 2023",18.6,121.162,956.767,44.043,0.022,0.546,61.9,0.727,,,,,,,,,,,,,
"March 24, 2023",8.5,22.095,966.302,48.223,0.301,0.417,43.518,0.693,,,,,,,,,,,,,
"March 25, 2023",25.1,126.166,1336.436,47.536,0.503,0.16,46.642,0.987,,,,,,,,,,,,,
"March 26, 2023",6.9,48.486,1693.553,34.982,0.056,0.171,30.532,0.225,,,,,,,,,,,,,
"March 27, 2023",29.7,173.771,1328.023,26.674,0.491,0.418,70.169,0.662,,,,,,,,,,,,,
"March 28, 2023",24.3,43.786,1213.562,37.221,0.927,0.757,51.03,0.61,,,,,,,,,,,,,
"March 29, 2023",10,86.34,1403.716,25.704,0.105,0.898,35.668,0.915,,,,,,,,,,,,,
"March 30, 2023",5.1,33.656,1111.726,55.604,0.764,0.084,57.684,0.156,,,,,,,,,,,,,
"March 31, 2023",25.4,179.5,666.157,33.835,0.41,0.393,89.659,0.752,,,,,,,,,,,,,
"April 01, 2023",22.7,100.351,1218.526,26.178,0.655,0.1,44.821,0.568,,,,,,,,,,,,,
"April 02, 2023",23.2,115.262,1653.388,21.018,0.26,0.017,83.655,0.275,,,,,,,,,,,,,
"April 03, 2023",24.3,30.732,792.833,45.833,0.159,0.662,37.601,0.474,,,,,,,,,,,,,
"April 04, 2023",6.9,139.994,1359.005,45.476,0.16,0.602,14.379,0.334,,,,,,,,,,,,,
"April 05, 2023",14,53.585,821.027,33.624,0.07,0.163,26.339,0.579,,,,,,,,,,,,,
"April 06, 2023",7.9,163.689,1189.41,22.868,0.186,0.234,43.496,0.889,,,,,,,,,,,,,
"April 07, 2023",26.6,52.822,706.344,36.385,0.664,0.024,27.571,0.569,,,,,,,,,,,,,
"April 08, 2023",20.6,50.51,1095.408,32.449,0.882,0.835,10.018,0.632,,,,,,,,,,,,,
"April 09, 2023",13.3,25.848,1431.78,47.085,0.814,0.975,83.2,0.519,,,,,,,,,,,,,
"April 10, 2023",6.6,95.531,982.329,44.231,0.685,0.135,77.51,0.051,,,,,,,,,,,,,
"April 11, 2023",12.8,110.375,1331.403,34.584,0.11,0.231,69.383,0.233,,,,,,,,,,,,,
"April 12, 2023",13.1,30.513,1474.995,28.716,0.289,0.868,23.425,0.492,,,,,,,,,,,,,
"April 13, 2023",23.2,144.084,1619.896,59.521,0.31,0.926,19.629,0.31,,,,,,,,,,,,,
"April 14, 2023",20.9,92.526,858.106,38.16,0.25,0.42,15.408,0.182,,,,,,,,,,,,,
"April 15, 2023",27.2,103.902,1039.248,47.531,0.515,0.051,67.922,0.504,,,,,,,,,,,,,
"April 16, 2023",16.8,90.522,767.658,25.622,0.536,0.039,84.305,0.323,,,,,,,,,,,,,
"April 17, 2023",8,84.122,1691.732,39.424,0.357,0.574,44.443,0.258,,,,,,,,,,,,,
"April 18, 2023",22.8,109.542,1619.701,21.101,0.354,0.393,19.531,0.464,,,,,,,,,,,,,
"April 19, 2023",24,44.838,1193.953,40.218,0.829,0.029,50.991,0.133,,,,,,,,,,,,,
"April 20, 2023",19,49.109,1526.237,58.561,0.789,0.583,37.907,0.928,,,,,,,,,,,,,
"April 21, 2023",24.3,157.886,1173.054,35.368,0.308,0.011,39.986,0.868,,,,,,,,,,,,,
"April 22, 2023",17.3,171.378,1285.944,21.56,0.914,0.787,59.706,0.708,,,,,,,,,,,,,
"April 23, 2023",18.1,79.729,698.037,21.238,0.953,0.306,67.497,0.106,,,,,,,,,,,,,
"April 24, 2023",15.7,63.319,1430.797,35.519,0.327,0.04,18.848,0.776,,,,,,,,,,,,,
"April 25, 2023",5.6,123.04,740.485,26.401,0.354,0.588,12.847,0.808,,,,,,,,,,,,,
"April 26, 2023",7.7,85.397,1508.674,20.934,0.506,0.398,89.546,0.768,,,,,,,,,,,,,
"April 27, 2023",5.8,24.062,1460.231,50.249,0.941,0.974,28.618,0.114,,,,,,,,,,,,,
"April 28, 2023",20.9,44.984,1379.619,38.341,0.876,0.544,14.306,0.644,,,,,,,,,,,,,
"April 29, 2023",12.9,134.556,639.776,31.57,0.103,0.275,25.19,0.834,,,,,,,,,,,,,
"April 30, 2023",17.7,125.428,933.441,56.003,0.393,0.709,13.117,0.577,,,,,,,,,,,,,
"May 01, 2023",27.7,24.335,889.424,24.646,0.553,0.271,41.345,0.646,,,,,,,,,,,,,
"May 02, 2023",11.2,55.516,996.15,58.237,0.503,0.904,74.192,0.458,,,,,,,,,,,,,
"May 03, 2023",15.3,56.972,696.407,32.559,0.194,0.375,37.3,0.529,,,,,,,,,,,,,
"May 04, 2023",23.9,127.503,1630.654,55.536,0.859,0.55,45.535,0.034,,,,,,,,,,,,,
"May 05, 2023",10.7,23.154,1209.182,44.118,0.677,0.051,64.047,0.639,,,,,,,,,,,,,
"May 06, 2023",6.9,36.657,936.077,53.068,0.838,0.426,50.712,0.081,,,,,,,,,,,,,
"May 07, 2023",12.2,147.987,1036.68,59.361,0.859,0.832,78.916,0.435,,,,,,,,,,,,,
"May 08, 2023",9,48.567,1091.923,31.536,0.748,0.806,79.283,0.293,,,,,,,,,,,,,
"May 09, 2023",28.2,124.439,1260.654,58.445,0.439,0.224,10.793,0.545,,,,,,,,,,,,,
"May 10, 2023",25.2,58.109,1167.247,35.579,0.611,0.226,72.244,0.133,,,,,,,,,,,,,
"May 11, 2023",20.8,35.911,1611.331,35.42,0.16,0.817,46.859,0.692,,,,,,,,,,,,,
"May 12, 2023",26.8,58.908,1146.66,33.615,0.674,0.93,89.107,0.795,,,,,,,,,,,,,
"May 13, 2023",25.1,135.563,1691.374,41.656,0.179,0.095,48.659,0.163,,,,,,,,,,,,,
"May 14, 2023",9.7,156.911,1536.567,26.166,0.694,0.45,88.952,0.104,,,,,,,,,,,,,
"May 15, 2023",27.3,152.835,829.362,42.148,0.23,0.337,70.366,0.146,,,,,,,,,,,,,
"May 16, 2023",18.5,83.549,1623.655,41.668,0.118,0.871,29.888,0.877,,,,,,,,,,,,,
"May 17, 2023",25.2,126.894,728.003,50.476,0.165,0.084,53.072,0.528,,,,,,,,,,,,,
"May 18, 2023",27.4,52.797,1499.195,53.346,0.002,0.211,89.371,0.467,,,,,,,,,,,,,
"May 19, 2023",13,66.904,1018.686,37.618,0.719,0.752,78.602,0.107,,,,,,,,,,,,,
"May 20, 2023",7.8,163.414,1565.772,32.093,0.732,0.051,17.789,0.65,,,,,,,,,,,,,
"May 21, 2023",10.7,22.08,1554.862,30.373,0.515,0.493,66.51,0.868,,,,,,,,,,,,,
"May 22, 2023",15.7,33.681,1486.518,27.785,0.161,0.442,37.646,0.828,,,,,,,,,,,,,
"May 23, 2023",25.5,53.262,1469.033,22.306,0.084,0.334,10.559,0.626,,,,,,,,,,,,,
"May 24, 2023",26.5,24.245,935.147,33.698,0.019,0.395,42.278,0.075,,,,,,,,,,,,,
"May 25, 2023",5.2,49.03,689.011,30.81,0.166,0.53,28.78,0.112,,,,,,,,,,,,,
"May 26, 2023",17.8,113.287,1043.278,58.657,0.891,0.161,75.51,0.049,,,,,,,,,,,,,
"May 27, 2023",15.4,87.428,790.877,42.308,0.242,0.572,36.986,0.257,,,,,,,,,,,,,
"May 28, 2023",10.6,162.827,1364.446,33.891,0.354,0.805,76.202,0.136,,,,,,,,,,,,,
"May 29, 2023",8,150.791,980.71,43.219,0.105,0.76,10.048,0.26,,,,,,,,,,,,,
"May 30, 2023",13.4,74.691,1673.171,25.568,0.222,0.154,34.626,0.385,,,,,,,,,,,,,
"May 31, 2023",28.6,61.508,1305.069,37.762,0.519,0.149,29.293,0.943,,,,,,,,,,,,,
"June 01, 2023",13.1,80.751,1504.729,45.049,0.608,0.268,28.685,0.61,,,,,,,,,,,,,
"June 02, 2023",18,114.447,745.777,39.556,0.245,0.361,15.455,0.835,,,,,,,,,,,,,
"June 03, 2023",22.6,62.89,1548.216,36.071,0.058,0.408,24.97,0.71,,,,,,,,,,,,,
"June 04, 2023",14.1,119.864,1615.033,59.754,0.391,0.68,54.444,0.113,,,,,,,,,,,,,
"June 05, 2023",29.3,85.506,1135.768,55.213,0.234,0.057,33.309,0.736,,,,,,,,,,,,,
"June 06, 2023",29.1,108.328,1266.878,44.936,0.22,0.035,43.392,0.275,,,,,,,,,,,,,
"June 07, 2023",11.3,89.78,1441.291,42.775,0.96,0.392,40.149,0.639,,,,,,,,,,,,,
"June 08, 2023",17.4,67.115,792.322,44.826,0.616,0.697,80.072,0.341,,,,,,,,,,,,,
"June 09, 2023",12.5,171.753,1152.823,28.052,0.557,0.193,82.424,0.998,,,,,,,,,,,,,
"June 10, 2023",12.1,142.177,1038.529,35.806,0.416,0.642,49.437,0.264,,,,,,,,,,,,,
"June 11, 2023",5.9,42.418,761.011,21.578,0.429,0.26,36.412,0.279,,,,,,,,,,,,,
"June 12, 2023",20.2,158.955,1004.288,39.022,0.541,0.886,18.544,0.931,,,,,,,,,,,,,
"June 13, 2023",17.6,97.989,674.99,41.721,0.696,0.896,86.272,0.025,,,,,,,,,,,,,
"June 14, 2023",6.3,163.128,628.393,29.11,0.702,0.297,14.818,0.697,,,,,,,,,,,,,
"June 15, 2023",12,147.977,748.683,58.561,0.172,0.23,33.812,0.725,,,,,,,,,,,,,
"June 16, 2023",27.7,88.034,1659.427,56.378,0.5,0.411,33.845,0.836,,,,,,,,,,,,,
"June 17, 2023",11,23.595,1204.482,48.886,0.412,0.241,35.632,0.974,,,,,,,,,,,,,
"June 18, 2023",8.6,62.988,1662.404,41.335,0.871,0.672,23.143,0.976,,,,,,,,,,,,,
"June 19, 2023",17.2,106.661,1075.748,54.799,0.631,0.826,72.653,0.065,,,,,,,,,,,,,
"June 20, 2023",29.6,121.357,942.998,25.226,0.533,0.673,19.8,0.822,,,,,,,,,,,,,
"June 21, 2023",11.1,61.262,1156.756,51.62,0.115,0.824,60.793,0.646,,,,,,,,,,,,,
"June 22, 2023",21.8,42.297,1083.463,24.993,0.606,0.397,19.908,0.647,,,,,,,,,,,,,
"June 23, 2023",24,153.589,716.231,51.768,0.117,0.156,15.643,0.128,,,,,,,,,,,,,
"June 24, 2023",10.9,177.504,1304.909,31.031,0.337,0.738,82.754,0.65,,,,,,,,,,,,,
"June 25, 2023",23.2,104.11,837.642,55.084,0.143,0.36,25.21,0.982,,,,,,,,,,,,,
"June 26, 2023",14.2,47.469,1281.547,57.762,0.692,0.671,75.7,0.912,,,,,,,,,,,,,
"June 27, 2023",20.8,63.569,1315.221,25.952,0.206,0.271,53.57,0.439,,,,,,,,,,,,,
"June 28, 2023",20.8,22.943,767.227,38.507,0.392,0.081,16.229,0.04,,,,,,,,,,,,,
"June 29, 2023",18.4,166.288,667.485,59.239,0.896,0.993,86.436,0.362,,,,,,,,,,,,,
"June 30, 2023",7.3,38.84,1458.838,39.336,0.204,0.156,29.757,0.826,,,,,,,,,,,,,
"July 01, 2023",25.9,112.243,1105.78,54.542,0.508,0.988,78.772,0.701,,,,,,,,,,,,,
"July 02, 2023",13,63.849,663.98,43.549,0.419,0.977,23.505,0.459,,,,,,,,,,,,,
"July 03, 2023",9.7,108.668,1694.353,35.013,0.018,0.794,78.315,0.055,,,,,,,,,,,,,
"July 04, 2023",6,124.227,663.559,31.431,0.793,0.659,11.058,0.427,,,,,,,,,,,,,
"July 05, 2023",19.8,152.759,1364.539,28.129,0.069,0.578,50.942,0.469,,,,,,,,,,,,,
"July 06, 2023",21.9,53.027,1682.047,50.472,0.474,0.866,71.555,0.929,,,,,,,,,,,,,
"July 07, 2023",5.4,21.759,863.098,35.462,0.561,0.289,84.784,0.641,,,,,,,,,,,,,
"July 08, 2023",17.8,41.902,756.474,40.451,0.628,0.468,82.736,0.312,,,,,,,,,,,,,
"July 09, 2023",10.7,164.003,733.523,39.693,0.689,0.619,75.57,0.525,,,,,,,,,,,,,
"July 10, 2023",21.1,159.822,933.603,43.091,0.253,0.411,81.055,0.066,,,,,,,,,,,,,
"July 11, 2023",9.4,115.586,711.15,54.623,0.01,0.427,25.938,0.973,,,,,,,,,,,,,
"July 12, 2023",22.3,116.083,1361.377,59.23,0.723,0.33,32.735,0.36,,,,,,,,,,,,,
"July 13, 2023",14.7,126.406,668.521,36.303,0.536,0.564,33.117,0.478,,,,,,,,,,,,,
"July 14, 2023",28.4,48.059,1160.364,53.101,0.836,0.851,40.164,0.355,,,,,,,,,,,,,
"July 15, 2023",8.4,166.306,1696.367,50.581,0.821,0.202,41.466,0.683,,,,,,,,,,,,,
"July 16, 2023",13.5,87.003,1495.367,42.941,0.843,0.934,53.564,0.662,,,,,,,,,,,,,
"July 17, 2023",7.8,81.302,1276.741,58.242,0.485,0.689,22.79,0.715,,,,,,,,,,,,,
"July 18, 2023",28.1,103.027,936.879,28.019,0.334,0.823,65.3,0.268,,,,,,,,,,,,,
"July 19, 2023",26.9,27.515,1286.285,24.371,0.792,0.556,23.405,0.316,,,,,,,,,,,,,
"July 20, 2023",11.4,46.605,1179.746,54.158,0.451,0.78,34.825,0.125,,,,,,,,,,,,,
"July 21, 2023",21.5,138.085,1068.692,37.566,0.183,0.016,50.268,0.656,,,,,,,,,,,,,
"July 22, 2023",25.4,33.248,743.781,53.879,0.855,0.818,73.715,0.04,,,,,,,,,,,,,
"July 23, 2023",18.9,116.504,1575.265,55.724,0.883,0.04,69.158,0.598,,,,,,,,,,,,,
"July 24, 2023",18.2,59.256,1094.763,22.498,0.466,0.89,61.643,0.87,,,,,,,,,,,,,
"July 25, 2023",11,82.287,814.085,55.339,0.076,0.992,22.462,0.891,,,,,,,,,,,,,
"July 26, 2023",7.3,66.191,1004.535,37.933,0.388,0.294,53.764,0.449,,,,,,,,,,,,,
"July 27, 2023",27.4,76.908,1055.543,40.417,0.804,0.21,16.996,0.459,,,,,,,,,,,,,
"July 28, 2023",27.5,135.047,1510.292,45.064,0.902,0.765,40.189,0.077,,,,,,,,,,,,,
"July 29, 2023",20.8,67.539,1406.976,57.055,0.203,0.253,43.081,0.671,,,,,,,,,,,,,
"July 30, 2023",13.5,110.625,1446.235,20.765,0.067,0.866,13.185,0.821,,,,,,,,,,,,,
"July 31, 2023",13.7,96.168,612.134,39.074,0.877,0.103,31.919,0.245,,,,,,,,,,,,,
"August 01, 2023",23.1,126.187,1057.769,47.509,0.389,0.126,86.452,0.421,,,,,,,,,,,,,
"August 02, 2023",27.4,169.893,1129.479,48.908,0.542,0.979,86.291,0.839,,,,,,,,,,,,,
"August 03, 2023",27.2,137.212,621.112,47.701,0.968,0.674,38.186,0.877,,,,,,,,,,,,,
"August 04, 2023",24.5,54.39,885.795,25.377,0.067,0.847,13.448,0.243,,,,,,,,,,,,,
"August 05, 2023",21.1,24.989,1436.319,31.976,0.648,0.324,24.328,0.551,,,,,,,,,,,,,
"August 06, 2023",7.1,61.962,750.821,34.349,0.074,0.676,41.377,0.192,,,,,,,,,,,,,
"August 07, 2023",9,115.212,1188.841,52.177,0.375,0.594,85.822,0.102,,,,,,,,,,,,,
"August 08, 2023",27.5,28.228,836.722,31.15,0.804,0.603,21.296,0.911,,,,,,,,,,,,,
"August 09, 2023",20.2,99.419,613.333,28.428,0.433,0.683,71.081,0.821,,,,,,,,,,,,,
"August 10, 2023",5.2,115.495,865.322,58.298,0.997,0.575,18.695,0.76,,,,,,,,,,,,,
"August 11, 2023",7.5,73.479,1673.461,20.355,0.559,0.429,88.501,0.049,,,,,,,,,,,,,
"August 12, 2023",21.6,143.346,1481.691,59.913,0.321,0.276,40.529,0.844,,,,,,,,,,,,,
"August 13, 2023",5.1,37.056,1655.534,47.073,0.22,0.769,72.019,0.438,,,,,,,,,,,,,
"August 14, 2023",9,32.022,1136.639,53.139,0.351,0.226,37.407,0.342,,,,,,,,,,,,,
"August 15, 2023",18.7,136.51,720.71,31.785,0.373,0.692,60.214,0.546,,,,,,,,,,,,,
"August 16, 2023",22.3,99.279,1202.755,20.573,0.069,0.233,25.361,0.091,,,,,,,,,,,,,
"August 17, 2023",21.3,130.144,1099.815,49.515,0.37,0.625,21.682,0.757,,,,,,,,,,,,,
"August 18, 2023",10.6,89.572,1528.793,53.366,0.464,0.747,85.045,0.582,,,,,,,,,,,,,
"August 19, 2023",22.8,59.424,707.891,49.619,0.723,0.219,83.412,0.187,,,,,,,,,,,,,
"August 20, 2023",10.9,151.056,1137.065,25.714,0.657,0.06,80.998,0.188,,,,,,,,,,,,,
"August 21, 2023",13.1,147.907,765.054,50.137,0.709,0.131,60.035,0.184,,,,,,,,,,,,,
"August 22, 2023",23.7,131.151,957.144,50.757,0.008,0.606,74.661,0.057,,,,,,,,,,,,,
"August 23, 2023",21.2,63.543,1411.093,46.342,0.218,0.849,15.523,0.588,,,,,,,,,,,,,
"August 24, 2023",26.2,114.437,1123.62,50.645,0.662,0.045,36.783,0.84,,,,,,,,,,,,,
"August 25, 2023",21.4,77.756,1013.477,53.837,0.484,0.734,35.096,0.017,,,,,,,,,,,,,
"August 26, 2023",19.2,34.653,1033.924,44.544,0.005,0.341,60.852,0.049,,,,,,,,,,,,,
"August 27, 2023",7.3,166.77,1105.391,23.544,0.804,0.479,38.477,0.573,,,,,,,,,,,,,
"August 28, 2023",14.2,41.891,1463.518,39.505,0.773,0.929,21.881,0.819,,,,,,,,,,,,,
"August 29, 2023",11.6,172.038,1581.293,23.106,0.548,0.332,57.717,0.327,,,,,,,,,,,,,
"August 30, 2023",11.1,91.361,1650.868,36.302,0.066,0.465,75.151,0.35,,,,,,,,,,,,,
"August 31, 2023",29.3,49.621,1465.594,36.284,0.767,0.014,40.57,0.596,,,,,,,,,,,,,
"September 01, 2023",14.8,106.704,946.948,22.64,0.584,0.082,20.581,0.274,,,,,,,,,,,,,
"September 02, 2023",27.3,159.671,1356.948,33.953,0.782,0.259,25.735,0.027,,,,,,,,,,,,,
"September 03, 2023",20.8,137.156,1081.363,24.44,0.752,0.028,28.999,0.735,,,,,,,,,,,,,
"September 04, 2023",24.9,149.05,880.138,52.329,0.803,0.631,33.992,0.626,,,,,,,,,,,,,
"September 05, 2023",17.6,125.405,1524.959,57.908,0.518,0.426,61.424,0.581,,,,,,,,,,,,,
"September 06, 2023",19.4,130.764,642.269,22.893,0.14,0.548,58.076,0.742,,,,,,,,,,,,,
"September 07, 2023",17.3,155.871,1591.938,58.205,0.671,0.175,65.686,0.675,,,,,,,,,,,,,
"September 08, 2023",9.9,59.947,1107.625,40.903,0.62,0.296,39,0.206,,,,,,,,,,,,,
"September 09, 2023",23.1,98.308,1300.922,31.983,0.742,0.664,75.92,0.352,,,,,,,,,,,,,
"September 10, 2023",12,55.394,1325.289,23.074,0.17,0.965,26.327,0.126,,,,,,,,,,,,,
"September 11, 2023",5.6,178.027,1584.63,40.025,0.195,0.05,47.523,0.13,,,,,,,,,,,,,
"September 12, 2023",21.1,171.049,1300.337,51.781,0.89,0.89,74.075,0.676,,,,,,,,,,,,,
"September 13, 2023",9.4,26.308,1275.327,48.283,0.75,0.577,24.413,0.859,,,,,,,,,,,,,
"September 14, 2023",28.5,132.892,673.317,22.009,0.908,0.564,18.789,0.963,,,,,,,,,,,,,
"September 15, 2023",28.8,168.04,1170.249,22.916,0.759,0.5,80.695,0.628,,,,,,,,,,,,,
"September 16, 2023",27.9,48.892,765.186,36.115,0.597,0.069,37.434,0.184,,,,,,,,,,,,,
"September 17, 2023",14.3,110.871,1411.177,31.812,0.654,0.09,64.71,0.106,,,,,,,,,,,,,
"September 18, 2023",5.4,166.478,1163.444,29.295,0.889,0.601,12.028,0.813,,,,,,,,,,,,,
"September 19, 2023",28.2,25.431,1348.251,31.24,0.579,0.341,65.204,0.579,,,,,,,,,,,,,
"September 20, 2023",15.7,131.587,645.84,52.139,0.632,0.917,35.288,0.618,,,,,,,,,,,,,
"September 21, 2023",29.2,67.576,693.271,57.169,0.156,0.407,14.459,0.781,,,,,,,,,,,,,
"September 22, 2023",29.1,167.903,1387.956,36.204,0.474,0.143,58.785,0.703,,,,,,,,,,,,,
"September 23, 2023",26.3,175.369,679.293,56.244,0.716,0.715,29.264,0.834,,,,,,,,,,,,,
"September 24, 2023",12.4,171.083,678.382,32.86,0.271,0.293,40.945,0.056,,,,,,,,,,,,,
"September 25, 2023",14.6,95.874,613.319,39.057,0.202,0.525,16.446,0.748,,,,,,,,,,,,,
