Data from Daily Inventory of Electricity Consumption,,,,,,,,,,,,,,,
Date,Deep Well 1 (m³),Prime Water (m³),Deep Well 2 (m³),Deep Well 3 (m³),Deep Well 4 (m³),Total Water Consumption (m³),,,,,,,,,
"May 24, 2023",60.8219,5.6633,11.6561,18.5612,0.3826,97.0851,,,,,,,,,
"May 25, 2023",35.2086,9.5359,8.971,16.7562,3.315,73.7867,,,,,,,,,
"May 26, 2023",50.3224,19.576,12.8358,34.1604,17.8171,134.7117,,,,,,,,,
"May 27, 2023",47.5223,15.5356,10.0823,23.9427,4.8307,101.9136,,,,,,,,,
"May 28, 2023",41.6632,27.3168,16.3394,18.6819,7.0854,111.0867,,,,,,,,,
"May 29, 2023",38.596,25.4361,12.1532,24.5117,2.1069,102.8039,,,,,,,,,
"May 30, 2023",45.1285,13.5454,19.7073,13.4799,4.4472,96.3083,,,,,,,,,
"May 31, 2023",63.2873,11.4856,15.6917,21.1011,10.3845,121.9502,,,,,,,,,
"June 01, 2023",44.6961,14.4923,17.8698,25.6559,12.1551,114.8692,,,,,,,,,
"June 02, 2023",50.5637,19.7574,9.5903,22.2224,4.907,107.0408,,,,,,,,,
"June 03, 2023",56.0906,11.7016,18.3442,20.0445,1.1546,107.3355,,,,,,,,,
"June 04, 2023",45.9089,20.6037,19.0731,34.8462,7.8207,128.2526,,,,,,,,,
"June 05, 2023",64.1535,15.2353,13.8447,32.0079,4.6841,129.9255,,,,,,,,,
"June 06, 2023",63.8734,18.8012,15.275,25.5851,4.3911,127.9258,,,,,,,,,
"June 07, 2023",42.5535,15.9032,17.1777,24.2344,19.1973,119.0661,,,,,,,,,
"June 08, 2023",49.9175,12.3616,10.0981,25.5165,12.326,110.2197,,,,,,,,,
"June 09, 2023",44.0263,28.7113,14.0308,15.0328,11.1376,112.9388,,,,,,,,,
"June 10, 2023",43.5452,24.0901,12.784,19.8784,8.3155,108.6132,,,,,,,,,
"June 11, 2023",36.1066,8.5028,9.7565,10.9865,8.5789,73.9313,,,,,,,,,
"June 12, 2023",53.2869,26.7117,12.4104,21.8887,10.8181,125.1158,,,,,,,,,
"June 13, 2023",50.0804,17.1858,8.8181,23.5756,13.9286,113.5885,,,,,,,,,
"June 14, 2023",36.5444,27.3638,8.3097,15.6937,14.0429,101.9545,,,,,,,,,
"June 15, 2023",43.3594,24.9964,9.622,34.1007,3.4339,115.5124,,,,,,,,,
"June 16, 2023",62.248,15.6303,19.5574,32.7364,10.0023,140.1744,,,,,,,,,
"June 17, 2023",42.1869,5.5617,14.5944,28.0536,8.2392,98.6358,,,,,,,,,
"June 18, 2023",39.3468,11.7169,19.5899,23.3347,17.4105,111.3988,,,,,,,,,
"June 19, 2023",49.6836,18.5409,13.19,31.7492,12.6284,125.7921,,,,,,,,,
"June 20, 2023",64.5695,20.837,11.7418,13.2663,10.6501,121.0647,,,,,,,,,
"June 21, 2023",42.2617,11.4472,14.0737,29.7627,2.3079,99.8532,,,,,,,,,
"June 22, 2023",55.1641,8.4839,13.2741,13.1205,12.1128,102.1554,,,,,,,,,
"June 23, 2023",57.8486,25.8733,9.268,29.8553,2.3441,125.1893,,,,,,,,,
"June 24, 2023",42.1291,29.6101,15.6899,16.8942,6.7441,111.0674,,,,,,,,,
"June 25, 2023",56.8465,18.1423,10.5925,31.9273,2.8568,120.3654,,,,,,,,,
"June 26, 2023",46.0335,9.292,15.4351,33.6011,13.8415,118.2032,,,,,,,,,
"June 27, 2023",53.9692,11.8077,15.8024,13.7199,4.125,99.4242,,,,,,,,,
"June 28, 2023",54.0059,5.4598,9.8243,21.5669,7.8372,98.6941,,,,,,,,,
"June 29, 2023",51.0732,27.8575,8.7362,34.5247,17.9135,140.1051,,,,,,,,,
"June 30, 2023",37.7087,7.9438,17.3691,22.0852,4.0863,89.1931,,,,,,,,,
"July 01, 2023",60.0591,19.4129,13.5176,31.5887,10.1561,134.7344,,,,,,,,,
"July 02, 2023",44.6234,11.8514,8.698,24.7183,8.3854,98.2765,,,,,,,,,
"July 03, 2023",40.5956,18.8545,19.9384,19.3832,0.3625,99.1342,,,,,,,,,
"July 04, 2023",36.2233,21.2855,8.6934,17.1446,15.8552,99.202,,,,,,,,,
"July 05, 2023",52.7268,25.7435,16.3404,15.0806,1.3809,111.2722,,,,,,,,,
"July 06, 2023",55.3269,10.1605,19.8041,29.045,9.4851,123.8216,,,,,,,,,
"July 07, 2023",35.4976,5.2749,10.8702,19.6635,11.2136,82.5198,,,,,,,,,
"July 08, 2023",50.3628,8.4221,9.707,22.7819,12.5685,103.8423,,,,,,,,,
"July 09, 2023",41.7949,27.5005,9.4566,22.3081,13.7726,114.8327,,,,,,,,,
"July 10, 2023",54.3552,26.8473,11.6393,24.432,5.0654,122.3392,,,,,,,,,
"July 11, 2023",40.231,19.9353,9.2125,31.6394,0.1996,101.2178,,,,,,,,,
"July 12, 2023",55.7281,20.0129,16.3059,34.5185,14.4689,141.0343,,,,,,,,,
"July 13, 2023",46.6021,21.6259,8.7475,20.1896,10.7131,107.8782,,,,,,,,,
"July 14, 2023",63.1019,9.3843,14.1131,30.688,16.7224,134.0097,,,,,,,,,
"July 15, 2023",39.1256,27.8603,19.9604,29.1132,16.4278,132.4873,,,,,,,,,
"July 16, 2023",45.232,15.4693,17.7676,24.3382,16.8665,119.6736,,,,,,,,,
"July 17, 2023",38.4042,14.5785,15.3826,33.9012,9.7019,111.9684,,,,,,,,,
"July 18, 2023",62.7408,17.9729,11.675,15.0119,6.6726,114.0732,,,,,,,,,
"July 19, 2023",61.3202,6.1741,15.4868,12.7316,15.8312,111.5439,,,,,,,,,
"July 20, 2023",42.7382,9.1571,14.3245,31.349,9.0259,106.5947,,,,,,,,,
"July 21, 2023",54.7995,23.4508,13.113,20.9787,3.6688,116.0108,,,,,,,,,
"July 22, 2023",59.5167,7.07,9.5685,31.1742,17.0995,124.4289,,,,,,,,,
"July 23, 2023",51.656,20.0788,18.6393,32.3273,17.6512,140.3526,,,,,,,,,
"July 24, 2023",50.8895,11.1337,13.3974,11.5614,9.3262,96.3082,,,,,,,,,
"July 25, 2023",42.2556,14.7324,10.3355,32.0866,1.514,100.9241,,,,,,,,,
"July 26, 2023",37.7931,12.2173,12.4131,21.208,7.7565,91.388,,,,,,,,,
"July 27, 2023",61.9165,13.8918,12.9696,22.7608,16.0708,127.6095,,,,,,,,,
"July 28, 2023",62.0125,22.9761,17.9305,25.6648,18.0355,146.6194,,,,,,,,,
"July 29, 2023",53.993,12.428,16.8034,33.1596,4.0695,120.4535,,,,,,,,,
"July 30, 2023",45.1709,19.1601,17.2317,10.4779,1.3395,93.3801,,,,,,,,,
"July 31, 2023",45.4763,16.9013,8.1324,21.9211,17.547,109.9781,,,,,,,,,
"August 01, 2023",56.7787,21.5918,12.9938,27.1931,7.7881,126.3455,,,,,,,,,
"August 02, 2023",61.9133,28.4207,13.7761,28.0677,10.8352,143.013,,,,,,,,,
"August 03, 2023",61.6126,23.3143,8.2303,27.3133,19.3613,139.8318,,,,,,,,,
"August 04, 2023",58.3963,10.3735,11.1178,13.3609,1.3313,94.5798,,,,,,,,,
"August 05, 2023",54.2609,5.7796,17.1235,17.4849,12.9664,107.6153,,,,,,,,,
"August 06, 2023",37.5242,11.5566,9.6453,18.9679,1.4821,79.1761,,,,,,,,,
"August 07, 2023",39.8489,19.8769,14.4237,30.1109,7.5094,111.7698,,,,,,,,,
"August 08, 2023",61.9566,6.2856,10.5824,16.969,16.0763,111.8699,,,,,,,,,
"August 09, 2023",53.1929,17.4092,8.1454,15.2676,8.6694,102.6845,,,,,,,,,
"August 10, 2023",35.2759,19.9211,10.8944,33.9362,19.9436,119.9712,,,,,,,,,
"August 11, 2023",38.0441,13.3561,19.7105,10.2216,11.1812,92.5135,,,,,,,,,
"August 12, 2023",54.9051,24.2728,17.6184,34.9455,6.4232,138.165,,,,,,,,,
"August 13, 2023",35.1518,7.665,19.5149,26.9205,4.4022,93.6544,,,,,,,,,
"August 14, 2023",39.8242,6.8784,13.8542,30.7117,7.0104,98.2789,,,,,,,,,
"August 15, 2023",51.462,23.2047,9.3168,17.3655,7.4507,108.7997,,,,,,,,,
"August 16, 2023",55.7569,17.3873,14.5755,10.3579,1.3743,99.4519,,,,,,,,,
"August 17, 2023",54.5588,22.2101,13.4525,28.4467,7.3915,126.0596,,,,,,,,,
"August 18, 2023",41.7281,15.8707,18.1323,30.8536,9.2848,115.8695,,,,,,,,,
"August 19, 2023",56.3654,11.1601,9.177,28.5119,14.4548,119.6692,,,,,,,,,
"August 20, 2023",42.1175,25.4776,13.8589,13.5713,13.1346,108.1599,,,,,,,,,
"August 21, 2023",44.762,24.9854,9.8006,28.8357,14.1753,122.559,,,,,,,,,
"August 22, 2023",57.3947,22.3674,11.8961,29.2231,0.1673,121.0486,,,,,,,,,
"August 23, 2023",54.489,11.8036,16.8483,26.4635,4.3533,113.9577,,,,,,,,,
"August 24, 2023",60.4767,19.7558,13.7122,29.1529,13.2337,136.3313,,,,,,,,,
"August 25, 2023",54.7284,14.0243,12.5107,31.148,9.6798,122.0912,,,,,,,,,
"August 26, 2023",52.0493,7.2896,12.7337,25.3401,0.1063,97.519,,,,,,,,,
"August 27, 2023",37.8102,27.9328,13.5134,12.2151,16.0899,107.5614,,,,,,,,,
"August 28, 2023",46.0315,8.4205,17.4202,22.1907,15.4562,109.5191,,,,,,,,,
"August 29, 2023",42.9561,28.7559,18.705,11.9412,10.9684,113.3266,,,,,,,,,
"August 30, 2023",42.3197,16.1501,19.464,20.1886,1.3293,99.4517,,,,,,,,,
"August 31, 2023",64.1903,9.6283,17.4428,20.1777,15.3303,126.7694,,,,,,,,,
"September 01, 2023",46.7929,18.5475,11.7849,11.6502,11.6743,100.4498,,,,,,,,,
"September 02, 2023",61.7614,26.8236,16.2576,18.7205,15.6392,139.2023,,,,,,,,,
"September 03, 2023",53.9342,23.3056,13.2512,12.775,15.0349,118.3009,,,,,,,,,
"September 04, 2023",58.8443,25.164,11.056,30.2059,16.06,141.3302,,,,,,,,,
"September 05, 2023",50.0791,21.4696,18.0905,33.6922,10.3602,133.6916,,,,,,,,,
"September 06, 2023",52.3071,22.3069,8.4611,11.8079,2.8065,97.6895,,,,,,,,,
"September 07, 2023",49.7755,26.2299,18.8211,33.8779,13.4231,142.1275,,,,,,,,,
"September 08, 2023",40.8573,11.2417,13.5377,23.0644,12.4095,101.1106,,,,,,,,,
"September 09, 2023",56.6736,17.2356,15.6464,17.4891,14.8451,121.8898,,,,,,,,,
"September 10, 2023",43.4232,10.5302,15.9122,11.9216,3.3976,85.1848,,,,,,,,,
"September 11, 2023",35.7295,29.6917,18.7414,22.5156,3.8995,110.5777,,,,,,,,,
"September 12, 2023",54.3642,28.6015,15.64,29.8629,17.8082,146.2768,,,,,,,,,
"September 13, 2023",40.3133,5.9857,15.3672,27.6772,14.9996,104.343,,,,,,,,,
"September 14, 2023",63.2138,22.6394,8.7998,11.2557,18.1646,124.0733,,,,,,,,,
"September 15, 2023",63.6179,28.1312,14.2209,11.8225,15.1743,132.9668,,,,,,,,,
"September 16, 2023",62.4459,9.5144,9.802,20.0718,11.9431,113.7772,,,,,,,,,
"September 17, 2023",46.1048,19.1986,16.8492,17.3823,13.0827,112.6176,,,,,,,,,
"September 18, 2023",35.4637,27.8872,14.1467,15.8096,17.7826,111.0898,,,,,,,,,
"September 19, 2023",62.8496,5.8486,16.1627,17.0251,11.5761,113.4621,,,,,,,,,
"September 20, 2023",47.8455,22.4355,8.5001,30.0871,12.6478,121.516,,,,,,,,,
"September 21, 2023",63.9996,12.4337,9.0175,33.2307,3.1295,121.811,,,,,,,,,
"September 22, 2023",63.9086,28.1099,16.5959,20.1276,9.4784,138.2204,,,,,,,,,
"September 23, 2023",60.5903,29.2765,8.865,32.6528,14.3279,145.7125,,,,,,,,,
"September 24, 2023",43.8335,28.6067,8.8551,18.0374,5.4189,104.7516,,,,,,,,,
"September 25, 2023",46.5529,16.8554,8.1453,21.9109,4.0451,97.5096,,,,,,,,,
"September 26, 2023",60.5341,26.5511,19.478,15.6507,6.2765,128.4904,,,,,,,,,
"September 27, 2023",44.5077,26.1137,16.8501,26.0119,4.83,118.3134,,,,,,,,,
"September 28, 2023",40.0848,12.9775,12.239,34.4745,4.2983,104.0741,,,,,,,,,
"September 29, 2023",51.704,25.7229,11.5584,25.0873,8.497,122.5696,,,,,,,,,
"September 30, 2023",63.0846,5.9252,12.1964,18.9454,18.1568,118.3084,,,,,,,,,
"October 01, 2023",55.8809,19.9067,17.2958,26.1954,10.1412,129.42,,,,,,,,,
"October 02, 2023",52.1018,10.7502,15.9364,13.073,3.7584,95.6198,,,,,,,,,
"October 03, 2023",37.9153,8.0142,10.2223,32.2165,1.5394,89.9077,,,,,,,,,
"October 04, 2023",53.4502,6.9238,10.0893,22.5771,13.9231,106.9635,,,,,,,,,
"October 05, 2023",64.7016,22.4072,9.1807,21.2337,7.656,125.1792,,,,,,,,,
"October 06, 2023",39.2025,13.4969,15.9236,24.6466,16.4366,109.7062,,,,,,,,,
"October 07, 2023",50.5499,23.1192,17.1725,25.6196,13.1902,129.6514,,,,,,,,,
"October 08, 2023",61.3212,6.6339,11.1806,11.7944,15.9248,106.8549,,,,,,,,,
"October 09, 2023",57.2231,12.8823,8.2513,27.0654,5.4389,110.861,,,,,,,,,
"October 10, 2023",55.9105,18.4873,8.9861,16.0483,13.8472,113.2794,,,,,,,,,
"October 11, 2023",56.0745,24.7681,19.6143,27.8488,5.2812,133.5869,,,,,,,,,
"October 12, 2023",45.7847,12.9688,11.5453,30.5634,18.7814,119.6436,,,,,,,,,
"October 13, 2023",43.8078,20.6473,17.2307,30.099,12.7275,124.5123,,,,,,,,,
"October 14, 2023",59.2808,27.1494,15.496,23.8125,6.4902,132.2289,,,,,,,,,
"October 15, 2023",59.3034,20.3966,12.5833,23.0042,5.3902,120.6777,,,,,,,,,
"October 16, 2023",61.0122,10.824,10.4682,13.5719,3.8185,99.6948,,,,,,,,,
"October 17, 2023",62.3972,5.61,9.4566,29.3837,13.8928,120.7403,,,,,,,,,
"October 18, 2023",50.3403,26.7525,15.3802,16.7852,4.3743,113.6325,,,,,,,,,
"October 19, 2023",50.0455,5.5317,17.2956,22.4174,11.9061,107.1963,,,,,,,,,
"October 20, 2023",58.9489,26.8675,15.7269,17.1069,5.2927,123.9429,,,,,,,,,
"October 21, 2023",54.4989,18.2234,14.3636,13.3457,13.2394,113.671,,,,,,,,,
"October 22, 2023",56.059,28.4767,8.5034,25.7389,16.2988,135.0768,,,,,,,,,
"October 23, 2023",58.8738,24.9696,19.6219,11.3583,15.5605,130.3841,,,,,,,,,
"October 24, 2023",61.7002,29.9484,17.5846,28.7161,15.217,153.1663,,,,,,,,,
"October 25, 2023",45.1399,13.7678,11.5139,17.9397,3.7544,92.1157,,,,,,,,,
"October 26, 2023",46.2675,24.1797,19.7596,10.0034,1.7677,101.9779,,,,,,,,,
"October 27, 2023",37.8195,15.0483,15.2226,22.7782,13.979,104.8476,,,,,,,,,
"October 28, 2023",52.3484,16.9969,14.9891,11.1713,7.3669,102.8726,,,,,,,,,
"October 29, 2023",36.0783,20.6876,16.9769,16.9042,8.6469,99.2939,,,,,,,,,
"October 30, 2023",48.9679,26.8419,17.7412,27.6744,0.623,121.8484,,,,,,,,,
"October 31, 2023",51.2793,29.6021,15.8777,11.5672,5.1915,113.5178,,,,,,,,,
"November 01, 2023",43.5962,24.2068,9.5371,30.9835,0.6735,108.9971,,,,,,,,,
